场景,风电档位,光伏档位,日产量(吨/天),吨氨成本(元/吨),eta_self,eta_green,eta_grid,日购电量(kWh),日售电量(kWh),日发电量(kWh),日用电量(kWh),分类,求解状态,绿电惩罚(元)
W2S0,2,0,63,4305.49,0.6695,0.7040,0.1653,274028.99,129042.11,780840.00,925826.87,全满足,Optimal,0.00
W2S0,2,0,54,3609.86,0.6000,0.7800,0.2000,176233.96,156168.00,780840.00,800905.96,部分满足,Optimal,0.00
W2S0,2,0,45,3036.14,0.6000,0.9335,0.2000,44499.18,156168.00,780840.00,669171.18,部分满足,Optimal,0.00
W2S0,2,0,36,2217.17,0.4686,1.0000,0.2657,0.00,207476.57,780840.00,573363.43,部分满足,Optimal,128271.42
W2S1,2,1,72,6618.64,0.9857,0.4907,0.0071,538166.40,3726.40,522280.00,1056720.00,全满足,Optimal,0.00
W2S1,2,1,63,5798.39,0.9857,0.5604,0.0071,406705.82,3726.40,522280.00,925259.42,全满足,Optimal,0.00
W2S1,2,1,54,5026.19,0.9857,0.6508,0.0071,278213.63,3726.40,522280.00,796767.22,全满足,Optimal,0.00
W2S1,2,1,45,4420.02,0.9080,0.7436,0.0460,171769.19,24016.28,522280.00,670032.91,全满足,Optimal,0.00
W2S1,2,1,36,3822.65,0.6000,0.7781,0.2000,119137.48,104456.00,522280.00,536961.48,部分满足,Optimal,0.00
W2S2,2,2,72,8001.30,1.0000,0.3374,0.0000,700200.00,0.00,356520.00,1056720.00,全满足,Optimal,0.00
W2S2,2,2,63,7272.71,1.0000,0.3860,0.0000,567128.57,0.00,356520.00,923648.57,全满足,Optimal,0.00
W2S2,2,2,54,6538.85,1.0000,0.4490,0.0000,437559.11,0.00,356520.00,794079.11,全满足,Optimal,0.00
W2S2,2,2,45,5744.89,1.0000,0.5339,0.0000,311286.10,0.00,356520.00,667806.10,全满足,Optimal,0.00
W2S2,2,2,36,5001.76,1.0000,0.6563,0.0000,186717.34,0.00,356520.00,543237.33,全满足,Optimal,0.00
W2S3,2,3,72,8549.81,1.0000,0.2762,0.0000,764840.00,0.00,291880.00,1056720.00,部分满足,Optimal,7540.80
W2S3,2,3,63,7896.69,1.0000,0.3158,0.0000,632482.86,0.00,291880.00,924362.86,全满足,Optimal,0.00
W2S3,2,3,54,7237.54,1.0000,0.3670,0.0000,503479.67,0.00,291880.00,795359.67,全满足,Optimal,0.00
W2S3,2,3,45,6465.87,1.0000,0.4357,0.0000,377972.09,0.00,291880.00,669852.09,全满足,Optimal,0.00
W2S3,2,3,36,5675.89,1.0000,0.5344,0.0000,254255.55,0.00,291880.00,546135.55,全满足,Optimal,0.00
W3S0,3,0,72,4890.38,0.6038,0.6655,0.1981,353502.00,173706.00,876924.00,1056720.00,全满足,Optimal,0.00
W3S0,3,0,63,3951.38,0.6000,0.7568,0.2000,225485.42,175384.80,876924.00,927024.62,全满足,Optimal,0.00
W3S0,3,0,54,3391.32,0.6000,0.8782,0.2000,97317.59,175384.80,876924.00,798856.79,全满足,Optimal,0.00
W3S0,3,0,45,2709.19,0.5590,0.9900,0.2205,6926.87,193365.14,876924.00,690485.74,部分满足,Optimal,44950.84
W3S0,3,0,36,1615.82,0.3121,1.0000,0.3439,0.00,301614.14,876924.00,575309.86,部分满足,Optimal,315573.35
W3S1,3,1,72,6137.65,0.9685,0.5760,0.0158,448096.20,9740.20,618364.00,1056720.00,全满足,Optimal,0.00
W3S1,3,1,63,5250.90,0.9685,0.6577,0.0158,316700.94,9740.20,618364.00,925324.74,全满足,Optimal,0.00
W3S1,3,1,54,4485.56,0.9622,0.7594,0.0189,192193.73,11689.44,618364.00,798868.30,全满足,Optimal,0.00
W3S1,3,1,45,3931.82,0.6198,0.7494,0.1901,167487.43,117566.10,618364.00,668285.33,全满足,Optimal,0.00
W3S1,3,1,36,3285.70,0.6000,0.9243,0.2000,40522.70,123672.80,618364.00,535213.90,全满足,Optimal,0.00
W3S2,3,2,72,7490.11,1.0000,0.4283,0.0000,604116.00,0.00,452604.00,1056720.00,全满足,Optimal,0.00
W3S2,3,2,63,6690.63,1.0000,0.4900,0.0000,471044.57,0.00,452604.00,923648.57,全满足,Optimal,0.00
W3S2,3,2,54,5864.48,1.0000,0.5697,0.0000,341899.86,0.00,452604.00,794503.87,全满足,Optimal,0.00
W3S2,3,2,45,5008.97,0.9882,0.6745,0.0059,217121.20,2676.20,452604.00,667049.00,全满足,Optimal,0.00
W3S2,3,2,36,4386.89,0.6794,0.6966,0.1603,165567.43,72541.88,452604.00,545629.54,全满足,Optimal,0.00
W3S3,3,3,72,8038.62,1.0000,0.3671,0.0000,668756.00,0.00,387964.00,1056720.00,全满足,Optimal,0.00
W3S3,3,3,63,7312.47,1.0000,0.4197,0.0000,536398.86,0.00,387964.00,924362.86,全满足,Optimal,0.00
W3S3,3,3,54,6558.72,1.0000,0.4879,0.0000,407254.74,0.00,387964.00,795218.74,全满足,Optimal,0.00
W3S3,3,3,45,5684.20,1.0000,0.5806,0.0000,280256.00,0.00,387964.00,668220.00,全满足,Optimal,0.00
W3S3,3,3,36,4852.55,0.9661,0.6995,0.0169,163834.29,6570.59,387964.00,545227.69,全满足,Optimal,0.00
W4S0,4,0,72,5132.61,0.6128,0.6253,0.1936,395944.20,158644.20,819420.00,1056720.00,全满足,Optimal,0.00
